distance,largest_cc,second_largest_cc,number_of_stores,regions,n_regions,second_region,first_region,ratio
7645.0144,159,23,208,"{'Hovedstaden': 158, 'Sjælland': 1}",2.0,1.0,158.0,0.006289308176100629
7722.6776,160,23,209,"{'Hovedstaden': 159, 'Sjælland': 1}",2.0,1.0,159.0,0.00625
7800.3408,160,23,210,"{'Hovedstaden': 159, 'Sjælland': 1}",2.0,1.0,159.0,0.00625
7878.004,161,23,212,"{'Hovedstaden': 159, 'Sjælland': 2}",2.0,2.0,159.0,0.012422360248447204
7955.6672,162,25,215,"{'Hovedstaden': 160, 'Sjælland': 2}",2.0,2.0,160.0,0.012345679012345678
8033.330400000001,164,25,217,"{'Hovedstaden': 161, 'Sjælland': 3}",2.0,3.0,161.0,0.018292682926829267
8110.993600000001,164,25,218,"{'Hovedstaden': 161, 'Sjælland': 3}",2.0,3.0,161.0,0.018292682926829267
8188.656800000001,164,25,218,"{'Hovedstaden': 161, 'Sjælland': 3}",2.0,3.0,161.0,0.018292682926829267
8266.32,165,26,220,"{'Hovedstaden': 161, 'Sjælland': 4}",2.0,4.0,161.0,0.024242424242424242
8343.9832,166,27,222,"{'Hovedstaden': 162, 'Sjælland': 4}",2.0,4.0,162.0,0.024096385542168676
8421.646400000001,166,27,222,"{'Hovedstaden': 162, 'Sjælland': 4}",2.0,4.0,162.0,0.024096385542168676
8499.3096,167,27,223,"{'Hovedstaden': 162, 'Sjælland': 5}",2.0,5.0,162.0,0.029940119760479042
8576.9728,167,27,223,"{'Hovedstaden': 162, 'Sjælland': 5}",2.0,5.0,162.0,0.029940119760479042
8654.636,168,27,225,"{'Hovedstaden': 163, 'Sjælland': 5}",2.0,5.0,163.0,0.02976190476190476
8732.2992,171,27,229,"{'Hovedstaden': 166, 'Sjælland': 5}",2.0,5.0,166.0,0.029239766081871343
8809.9624,171,27,230,"{'Hovedstaden': 166, 'Sjælland': 5}",2.0,5.0,166.0,0.029239766081871343
8887.625600000001,173,27,232,"{'Hovedstaden': 168, 'Sjælland': 5}",2.0,5.0,168.0,0.028901734104046242
8965.2888,174,27,233,"{'Hovedstaden': 169, 'Sjælland': 5}",2.0,5.0,169.0,0.028735632183908046
9042.952000000001,175,27,234,"{'Hovedstaden': 169, 'Sjælland': 6}",2.0,6.0,169.0,0.03428571428571429
