store_name,region,cluster,cluster_bool,urban_rural,entropy
6fb3c05c-3941-42d6-bc8b-62d251153252,Hovedstaden,4,In-Cluster Store,Urban,0.8064401336570297
34e76e73-5925-4d78-b994-7c1f42e749a4,Sjælland,3,In-Cluster Store,Urban,0.8225313812537387
82595089-fc63-4fd5-a481-94140ecb2e2c,Hovedstaden,4,In-Cluster Store,Urban,0.8138845707856163
205701b1-38b2-4bfa-93e9-374b1ccb01c3,Hovedstaden,4,In-Cluster Store,Urban,0.8248801180617329
77d3a3e9-7344-402c-ace3-325a5b7ddeea,Hovedstaden,4,In-Cluster Store,Urban,0.800779207527046
52fa68c5-19d8-402e-82d1-cf538ff5f614,Hovedstaden,4,In-Cluster Store,Urban,0.8103199351694363
8f7f38bf-8e17-4f56-93f2-269c256e93b4,Hovedstaden,4,In-Cluster Store,Urban,0.7929389535273129
a5cf8a1e-6597-40ba-8dba-7ebd534c3157,Sjælland,-1,Isolated Store,Rural,0.8017224325697362
4af9a4eb-920c-44d6-83f2-833c573400d6,Hovedstaden,4,In-Cluster Store,Urban,0.8095069775894055
856c06a6-c1b9-47a8-ba85-a8ce13221119,Sjælland,4,In-Cluster Store,Rural,0.8105205717442584
8a20030f-db38-4b93-b4af-d40f7b1ee435,Hovedstaden,4,In-Cluster Store,Urban,0.8285398289196919
01ca7997-68bf-4ec9-ac2c-4a422731a728,Sjælland,3,In-Cluster Store,Urban,0.8095675777282813
01bb056b-d7e6-4892-85a8-10dc984581f5,Hovedstaden,4,In-Cluster Store,Urban,0.7784408348806351
704cb656-3939-40d2-8bfb-cac47fd3050a,Sjælland,-1,Isolated Store,Rural,0.8052305884835596
d59d456f-b0ad-4826-ab38-d98b47951379,Hovedstaden,4,In-Cluster Store,Urban,0.7967422846286804
5730e993-bb7c-40fb-bbb1-0d1114584813,Hovedstaden,4,In-Cluster Store,Urban,0.77772826327736
6c594148-59f5-4a28-83c5-2f079f41c6fc,Hovedstaden,4,In-Cluster Store,Urban,0.8547663573934218
d61b40b8-e0e0-4c81-a2c2-293862591b82,Hovedstaden,4,In-Cluster Store,Urban,0.8118545254865316
f8661653-2032-4c6e-8d39-a90d2854a94e,Sjælland,3,In-Cluster Store,Urban,0.8307385605227265
15c99a5c-e790-418b-9044-6f96ab17093f,Hovedstaden,4,In-Cluster Store,Urban,0.7677011641854078
261fcf18-cc56-497d-a1d9-fab4dd3c743b,Hovedstaden,4,In-Cluster Store,Urban,0.7865703078754938
df057e45-6c24-43c5-8a97-34539e75d7bb,Sjælland,-1,Isolated Store,Rural,0.7742190703580683
a621be50-cfac-4397-8afc-c96349c01720,Hovedstaden,4,In-Cluster Store,Urban,0.8416510298303612
8e7077fa-5ca2-49c7-a936-b7e7f75dfd0d,Hovedstaden,4,In-Cluster Store,Urban,0.805439788603309
4d99a744-8087-44ff-b576-4bb0f6bb6ff4,Sjælland,4,In-Cluster Store,Urban,0.7726233461054033
911233e8-a2b7-4115-9413-6e7f0530e21f,Hovedstaden,4,In-Cluster Store,Urban,0.81965333204396
f8b5d90b-0d95-4d4e-a56f-fffd5c7e7ff3,Hovedstaden,4,In-Cluster Store,Urban,0.7890872902679942
05aa1221-c863-4c3d-b5e7-ec97e4f829b0,Hovedstaden,4,In-Cluster Store,Urban,0.808057698440514
9f7a4856-1a13-45fd-906f-a324b9fe25b6,Hovedstaden,4,In-Cluster Store,Urban,0.8342657316180114
81ecf729-d8e7-47b7-876f-c314e13f386e,Sjælland,4,In-Cluster Store,Rural,0.7860278152054938
6ba6a678-77c9-4368-910f-b65c421ae59a,Hovedstaden,4,In-Cluster Store,Urban,0.7868967232060349
6e00370c-0def-45d8-a6d4-51852f1a5885,Hovedstaden,4,In-Cluster Store,Urban,0.7729795052109152
